Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
Georgia,US,3/23/2020 23:19,2,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Maryland,US,3/23/2020 23:19,35,1,0,0
Maryland,US,3/23/2020 23:19,31,0,0,0
South Carolina,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
Georgia,US,3/23/2020 23:19,0,0,0,0
Nebraska,US,3/23/2020 23:19,0,0,0,0
Idaho,US,3/23/2020 23:19,2,0,0,0
Michigan,US,3/23/2020 23:19,0,0,0,0
Kansas,US,3/23/2020 23:19,0,0,0,0
Alabama,US,3/23/2020 23:19,0,0,0,0
West Virginia,US,3/23/2020 23:19,0,0,0,0
North Dakota,US,3/23/2020 23:19,0,0,0,0
Massachusetts,US,3/23/2020 23:19,30,0,0,0
South Carolina,US,3/23/2020 23:19,0,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Wisconsin,US,3/23/2020 23:19,0,0,0,0
Georgia,US,3/23/2020 23:19,1,0,0,0
Michigan,US,3/23/2020 23:19,1,0,0,0
Missouri,US,3/23/2020 23:19,0,0,0,0
Indiana,US,3/23/2020 23:19,5,0,0,0
Kansas,US,3/23/2020 23:19,0,0,0,0
Missouri,US,3/23/2020 23:19,0,0,0,0
Georgia,US,3/23/2020 23:19,61,1,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
Missouri,US,3/23/2020 23:19,1,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Virginia,US,3/23/2020 23:19,0,0,0,0
Arkansas,US,3/23/2020 23:19,0,0,0,0
Florida,US,3/23/2020 23:19,1,0,0,0
Michigan,US,3/23/2020 23:19,2,0,0,0
Wisconsin,US,3/23/2020 23:19,1,0,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
South Dakota,US,3/23/2020 23:19,12,0,0,0
Idaho,US,3/23/2020 23:19,0,0,0,0
North Carolina,US,3/23/2020 23:19,0,0,0,0
South Carolina,US,3/23/2020 23:19,21,0,0,0
Louisiana,US,3/23/2020 23:19,1,0,0,0
Oklahoma,US,3/23/2020 23:19,0,0,0,0
Pennsylvania,US,3/23/2020 23:19,3,0,0,0
Utah,US,3/23/2020 23:19,0,0,0,0
Montana,US,3/23/2020 23:19,0,0,0,0
Minnesota,US,3/23/2020 23:19,0,0,0,0
Oklahoma,US,3/23/2020 23:19,0,0,0,0
Pennsylvania,US,3/23/2020 23:19,0,0,0,0
Tennessee,US,3/23/2020 23:19,0,0,0,0
Virginia,US,3/23/2020 23:19,1,0,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
New Hampshire,US,3/23/2020 23:19,4,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,16,0,0,0
Ohio,US,3/23/2020 23:19,2,0,0,0
Minnesota,US,3/23/2020 23:19,0,0,0,0
Georgia,US,3/23/2020 23:19,0,0,0,0
Idaho,US,3/23/2020 23:19,0,0,0,0
South Dakota,US,3/23/2020 23:19,0,0,0,0
Vermont,US,3/23/2020 23:19,4,0,0,0
North Dakota,US,3/23/2020 23:19,0,0,0,0
Colorado,US,3/23/2020 23:19,0,0,0,0
Arkansas,US,3/23/2020 23:19,1,0,0,0
Indiana,US,3/23/2020 23:19,0,0,0,0
Iowa,US,3/23/2020 23:19,0,0,0,0
Minnesota,US,3/23/2020 23:19,1,0,0,0
Mississippi,US,3/23/2020 23:19,0,0,0,0
Missouri,US,3/23/2020 23:19,0,0,0,0
Oregon,US,3/23/2020 23:19,4,0,0,0
Tennessee,US,3/23/2020 23:19,0,0,0,0
Washington,US,3/23/2020 23:19,9,3,0,0
Michigan,US,3/23/2020 23:19,0,0,0,0
New Jersey,US,3/23/2020 23:19,609,6,0,0
South Carolina,US,3/23/2020 23:19,4,0,0,0
West Virginia,US,3/23/2020 23:19,0,0,0,0
Pennsylvania,US,3/23/2020 23:19,14,0,0,0
Massachusetts,US,3/23/2020 23:19,26,0,0,0
New Mexico,US,3/23/2020 23:19,38,0,0,0
Georgia,US,3/23/2020 23:19,0,0,0,0
Michigan,US,3/23/2020 23:19,5,0,0,0
North Carolina,US,3/23/2020 23:19,0,0,0,0
Alaska,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,57,1,0,0
Alabama,US,3/23/2020 23:19,0,0,0,0
Georgia,US,3/23/2020 23:19,2,0,0,0
Louisiana,US,3/23/2020 23:19,1,0,0,0
Montana,US,3/23/2020 23:19,0,0,0,0
Wyoming,US,3/23/2020 23:19,0,0,0,0
Minnesota,US,3/23/2020 23:19,1,0,0,0
North Dakota,US,3/23/2020 23:19,0,0,0,0
Idaho,US,3/23/2020 23:19,2,0,0,0
Iowa,US,3/23/2020 23:19,3,0,0,0
Indiana,US,3/23/2020 23:19,0,0,0,0
North Carolina,US,3/23/2020 23:19,0,0,0,0
Idaho,US,3/23/2020 23:19,35,0,0,0
Montana,US,3/23/2020 23:19,0,0,0,0
Nebraska,US,3/23/2020 23:19,0,0,0,0
Oklahoma,US,3/23/2020 23:19,0,0,0,0
Pennsylvania,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,1,0,0,0
Virginia,US,3/23/2020 23:19,0,0,0,0
Georgia,US,3/23/2020 23:19,0,0,0,0
Tennessee,US,3/23/2020 23:19,0,0,0,0
Alabama,US,3/23/2020 23:19,0,0,0,0
Tennessee,US,3/23/2020 23:19,2,0,0,0
Minnesota,US,3/23/2020 23:19,5,0,0,0
Idaho,US,3/23/2020 23:19,0,0,0,0
Mississippi,US,3/23/2020 23:19,4,0,0,0
Missouri,US,3/23/2020 23:19,0,0,0,0
South Dakota,US,3/23/2020 23:19,1,0,0,0
Illinois,US,3/23/2020 23:19,0,0,0,0
Idaho,US,3/23/2020 23:19,0,0,0,0
Idaho,US,3/23/2020 23:19,0,0,0,0
Arkansas,US,3/23/2020 23:19,1,0,0,0
Illinois,US,3/23/2020 23:19,0,0,0,0
Indiana,US,3/23/2020 23:19,3,0,0,0
Iowa,US,3/23/2020 23:19,0,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Missouri,US,3/23/2020 23:19,17,1,0,0
Nebraska,US,3/23/2020 23:19,0,0,0,0
West Virginia,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
Louisiana,US,3/23/2020 23:19,12,0,0,0
Virginia,US,3/23/2020 23:19,1,0,0,0
North Dakota,US,3/23/2020 23:19,0,0,0,0
Colorado,US,3/23/2020 23:19,39,0,0,0
Idaho,US,3/23/2020 23:19,0,0,0,0
Kansas,US,3/23/2020 23:19,1,0,0,0
Kentucky,US,3/23/2020 23:19,2,1,0,0
Texas,US,3/23/2020 23:19,1,0,0,0
North Dakota,US,3/23/2020 23:19,0,0,0,0
Nebraska,US,3/23/2020 23:19,0,0,0,0
Utah,US,3/23/2020 23:19,1,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Nebraska,US,3/23/2020 23:19,0,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Florida,US,3/23/2020 23:19,1,0,0,0
Pennsylvania,US,3/23/2020 23:19,0,0,0,0
Arkansas,US,3/23/2020 23:19,4,0,0,0
Tennessee,US,3/23/2020 23:19,1,0,0,0
Michigan,US,3/23/2020 23:19,0,0,0,0
Georgia,US,3/23/2020 23:19,0,0,0,0
West Virginia,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,16,0,0,0
Texas,US,3/23/2020 23:19,12,0,0,0
Kentucky,US,3/23/2020 23:19,1,0,0,0
Kentucky,US,3/23/2020 23:19,0,0,0,0
Iowa,US,3/23/2020 23:19,0,0,0,0
Florida,US,3/23/2020 23:19,7,0,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
Texas,US,3/23/2020 23:19,0,0,0,0
